id ,name,reviews.text,reviews.title
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The sales people are really nice and knowledgeable to me I will come back again,Great product
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great product and service and the sales man r really nice.,Great product
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great product and service will refer to a friend. And the sales man r good,Great product and service
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",very good product and service will refer a friend.,very good product and service.
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great selections. Hard to find assistance at times.,Good selection.
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This kindle is a basic and easy to use eReader. Exactly what I wanted. The charge lasts for a long time so you don't have to worry about charging it daily.,Exactly what I wanted
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Disappointed to realize there is not a light for night reading. Size and weight is great.,Good but not great
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",It is affordable and it had Increased storage but no backlight and the screen could be better!,OK
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Very good reading on this good and strong quality kindle,Great kindle.
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,Too small
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I particularly like the fact that the text shows up and you can see it well outside on a sunny day. I use it with Kindle Unlimited.,Love it!
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",Great reader but not perfect
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,Love to read
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","This is really good if you read a lot, doesn't strain your eyes and very light weight. Only demerit is - cant use in night if there is not enough light.",Great buy if you read a lot
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Excellent product very good piece strongly recommend,Great kindle
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Amazon Kindle is a good gift for the bookworm in your life. The lightweight and simplistic operating system allows for easy and enjoyable reading without all of the extras of a tablet. Great product for your money!!,Great Gift For The Bookworm!!!
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","In trying to get my son to read more and thought a kindle would help. First I got a good deal on an old kindle model that had been refurbished and it quickly broke. I had a gift card to Best Buy and this one was on sale, so I got it for him. I also bought him a silicone case and bought a Best Buy warranty. It is much easier to use this model vs the old one that he had originally, and I like that you can use FreeTime app on this device but you only just get the books. I also use overdrive to get him books from the library. So far it is working great for us. I bought this at Best Buy instead of getting it online from Amazon because I like the Best Buy warranty and that they are easier to deal with than Amazon.",Kindle for my kid
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Kindle is great for reading on the go when I can't carry around a lot of books.,Great reader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great buy! Bought it to replace a first generation Kindle.,Replacing old Kindle
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Perfect size, so easy to carry around. Long lasting battery life. Would reccomend!",Love it
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Easy to use and similar to using a book. Love it! I would buy again!,Similar to reading off a book
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Nice product, great price and expandable storage unlike the HD version",Wonderful value for the money
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",My wife likes it because she can read all different kind of books,Great kindle
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",FOR ITS SIZE IF OK THE VALUE MY WIFE LOVE IT SHE USE IT ALL THE TIME,PERFECT
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",In my opinion this model is too small and feels cheap. And sd card slot.,Feels cheap
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I am enjoying my Kindle very much! Easy to down load books and easy to read! Very happy with my purchase!,A great deal on a Kindle!
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I bought the Amazon Kindle so I could enjoy reading without lugging around multiple books. I usually read my ebooks on the Kindle app but I have gotten frustrated with my phone/tablet going into sleep mode. This Kindle is sufficient for my needs. I purchased a reading light for when I'm in low-light situations and it works very well. I am satisfied with my purchase.,Better than reading on my phone...
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",My fiance really enjoyes it! I would definitely recommend.,Great product
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Amazon Kindle is a great device to enjoy reading before bed. The device is small and lightweight which is better than holding onto a heavier tablet.,Great Gift For The Bookworm!!!
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Its a decent reader for beginners. There is no backlight, so not good for reading in dark. also slips from hands, so purchase a cover if you buy it.",Good for beginners
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Super easy to use and very gentle on your eyes, I've tried many e-readers but I'll definitely stick to this one.",Great ebook reader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",Great Kindle quality for a reasonable price.
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",It is great to be able to have all you books in the same place...,Has all I need
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","This is my first e-reader. I like it so far. Easy to use interface. The ads can be kind of annoying, but keeps cost lower.",Good reader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Nice basic reader. Had the first model kindle and this is quite a bit lighter,Nice ereader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Great starter eReader, very simply does what it's made to do.",Simple and easy to read
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great way to read books available for downloads from the library,Great device for reading
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","This Kindle has no extra bells or whistles that would cause major battery drainage. Sometimes less is more. No distractions to keep you from reading, no backlights to fatigue your eyes. Be aware that you can't read this Kindle in the dark.Pretty simple to operate. FYI there is no wall plug adapter for this unit only the USB cord that plugs into the Kindle, and computer for charging. You can buy an adapter separately. If you have the Kindle Fire HDX that adapter works with this kindle. You can use that adapter to charge it from the electrical outlet.I recently purchased this Kindle. I do have had other Kindles, and enjoy them immensely.I purchased this one for outdoor use.So far I Love it!",Fantastic E Reader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Great item, easy to use,would recommend to anybody want to use!",easy to use
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",There is no way to lock the font size and it changes if you touch the screen. I liked my paper white better but it died.,Font size changes with no way to lock it
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","After using a series of low end tablets as an e-Reader, I purchased this on sale for $50. It only really does one thing - display Kindle books in normal lighting, but it does it well.Size, feel, and battery life are all good, and unlike LCD-based tablets it is easy to read outside. The Amazon lock-screen ads are not that intrusive, and easy to ignore.","Simple, competent reader for Kindle books"
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",this item is a great upgrade from my last kindle.everything is touch screen and is faster than before,replacement kindle
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This devices is great for storing all my amazon books. It is also very light and portable. Simple to use as well.,Light and portable
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","This is a great product, my 8yr son is completely hooked onto it. The only change I would say it making the interface a little easier to use.",Great !! But the UI could be better
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I've owned a couple of Kindles. This one is my favorite thus far. The screen is a little too sensitive for my liking but other than that, great!",Favorite version so far
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Got this on sale for a great price and is a great product.,Great Reader
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Small, light easy to read in any lighting. If you are looking for a device that serves one purpose, to read books anywhere, this is for you.",Nicely designed for its intended usage
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I am happy as i bought it for reading and it is good.,Nice reading device
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I am very happy with my e-reader. It is so practical for reading along with my daughter. she has one as well, and we use them to read every night as required by her 4th grade class curriculum.",Good to have
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,Great reading tool
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I've been using the original B&N Nook ereader for several years now. I finally decided to upgrade. I wish I'd done it a lot sooner. The new Kindle touchscreen ereader is phenomenal.The device is light and easy to carry, almost unbelievably so. It is fast and responsive and touch screen has 0 delay. I would recommend anybody in the market for this one buy one immediately. You won't regret it.",great upgrade
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Easy to navigate. Daughter loves it. It's lightweigh and its just what she needed for this avid reader.,Great product
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This little device is great for it price. Lots of features.,Great Value
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","At first I thought my reader was broken but discovered, by accident, that my touch must be very light.",Good ereader. Great for when I travel.
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I replaced my kindle that I had for 4 years with the new one and after a short time was able to access all my books and continue reading the book that I was reading before I bought the new kindle. I am pleased with the new touch screen for moving to the next page, like that this one is smaller and easier to take in my purse. I did purchase a case and it is protective and durable. I will enjoy this kindle for years to come",new features make reading easier
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I am very pleased with this purchase. It is lightweight and the smaller size enables me to carry it easily. This Kindle allows me to read out in the sun without any glare. The only suggested improvement would be a lighted display to enable reading at night.,Great product for travel
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I loved this Kindle which is even better. It's a gift to a very important friend. Now he is unable to hold a book open with. He says that is easy to read but even lighter is wonderful.,Good
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Do you like to read? If so this is an excellent device. There are better devices, but at this price you are not going to find a comparable product.",Kindle
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Amazon Kindle is light weight and easy to use.,Good Deal for the Price
2,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Very useful for night time reading responsive and intuitive display,Perfect read
